action_id,title,tier,status,risk_tier,requires_admin,requires_runtime_input,mutation_capable,dry_run_default,requires_apply_for_change,script_path,script_sha256
ENDUSER_TEST_CURRENT_USER_CAN_LIST_PATH_V1,Enduser Test Current User Can List Path V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/18-Test-CurrentUserCanListPath.ps1,42447b24bacdad0eb89be8672687ca736276341a00de11b058dfc2eb3730e09f
ENDUSER_TEST_STORAGE_NAME_FULL_CHAIN_V1,Enduser Test Storage Name Full Chain V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/19-Test-StorageNameFullChain.ps1,07a77b1e25201a9f6890f30349ae8b8f0b8cbde8107543a94cedec91246e9293
ENDUSER_NEW_SUPPORT_EVIDENCE_BUNDLE_V1,Enduser New Support Evidence Bundle V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/20-New-SupportEvidenceBundle.ps1,1ab51f9f60f634eec624005ed00a471ae1a8f16c2dd22a141cccd64eb5950dd4
ENDUSER_RUN_ALL_SAFE_LOCAL_CHECKS_V1,Enduser Run All Safe Local Checks V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/21-Run-AllSafeLocalChecks.ps1,8b59f2a530972353e9c1fcc14a2c8b1aa03060a125194baeb031ba1b2036cc3c
ENDUSER_SHOW_STORAGE_SELF_CHECK_MENU_V1,Enduser Show Storage Self Check Menu V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/22-Show-StorageSelfCheckMenu.ps1,f6dd781a1323799899d87d97fdb9c9270ce30068df611382c9b55a45d1113b34
ENDUSER_TEST_SMB_PORT_445_V1,Enduser Test Smb Port 445 V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/23-Test-SmbPort445.ps1,b1e918b5c7d46395cc46b86bdced7ffe656c72845f126ba1ce5937f8b2059b74
ENDUSER_TEST_HTTPS_PORT_443_V1,Enduser Test Https Port 443 V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/24-Test-HttpsPort443.ps1,587ddb603d5b29a24d31d93d7e71d45dfa30633d68f41dda854cdfdd113b8f9c
ENDUSER_TEST_CURRENT_USER_CAN_READ_FILE_METADATA_V1,Enduser Test Current User Can Read File Metadata V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/25-Test-CurrentUserCanReadFileMetadata.ps1,8730c002ff442e6b8c1038b08cfb6d32a8ab36b6624604ab9c2a923e7ef16cb6
ENDUSER_GET_WINDOWS_UPTIME_V1,Enduser Get Windows Uptime V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/26-Get-WindowsUptime.ps1,68de67d0a012aae10f3e6cec7ff17da1ecf8688bf95c2090f7b1fd598fc4e082
ENDUSER_CHECK_PENDING_REBOOT_INDICATORS_V1,Enduser Check Pending Reboot Indicators V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/27-Check-PendingRebootIndicators.ps1,29accfd73cdcbc7e3af26b7830f1b3e6205799a12bfbeb84d75d2dbad2afa78c
